,distrito_nombre1,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,electores,votantes,Participacion
0,CONURBANO,4.04,3.19,21.83,23.76,47.18,240747,189915,1300840,1415851,2811002,2.39,0.12,0.59,146939,7272,36282,7887295,6148848,77.96
1,RESTO DEL PAIS,2.31,7.84,24.42,31.81,33.61,469185,1594400,4966312,6468485,6834981,1.94,0.11,0.9,407222,22660,188582,27522785,20951827,76.13
