,id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,FRENTE POPULAR_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MST - NUEVA IZQUIERDA_perc,PARTIDO POPULAR_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,FRENTE POPULAR_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MST - NUEVA IZQUIERDA_votos,PARTIDO POPULAR_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
2,BUENOS AIRES_ALMIRANTE BROWN,"Almirante Brown, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,22.1,1.18,3.95,48.47,0.48,4.49,17.74,0.61,0.18,0.5,0.31,65807,3519,11747,144325,1417,13364,52816,1802,545,1482,920,74.52,424226,316130,4.89,0.06,0.87,15448,175,2763,BUENOS AIRES
4,BUENOS AIRES_AVELLANEDA,"Avellaneda, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,28.6,0.96,4.24,40.13,0.56,5.04,18.99,0.56,0.14,0.54,0.24,58301,1958,8645,81788,1141,10276,38711,1136,284,1094,484,72.28,293544,212168,3.35,0.05,0.54,7105,102,1143,BUENOS AIRES
10,BUENOS AIRES_BERAZATEGUI,"Berazategui, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,21.2,1.38,4.1,46.86,0.66,3.33,20.99,0.54,0.18,0.53,0.23,38198,2479,7382,84430,1185,6002,37820,981,329,949,412,76.69,250625,192200,5.68,0.03,0.55,10913,65,1055,BUENOS AIRES
34,BUENOS AIRES_ESTEBAN ECHEVERRIA,"Esteban Echeverria, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,23.84,1.32,3.78,44.67,0.59,3.1,21.22,0.55,0.24,0.41,0.28,35566,1967,5642,66636,886,4624,31657,815,360,618,416,71.97,219630,158058,4.53,0.06,1.02,7155,101,1615,BUENOS AIRES
36,BUENOS AIRES_EZEIZA,"Ezeiza, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,19.63,1.66,3.51,46.9,0.38,2.76,23.83,0.38,0.18,0.4,0.37,16010,1356,2863,38260,313,2248,19440,312,150,327,298,73.13,119979,87741,6.18,0.02,0.82,5422,19,723,BUENOS AIRES
38,BUENOS AIRES_FLORENCIO VARELA,"Florencio Varela, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,16.06,0.87,3.22,56.89,0.41,2.23,18.85,0.57,0.19,0.42,0.3,32536,1757,6516,115295,827,4519,38206,1158,383,844,609,73.37,295876,217073,5.83,0.09,0.72,12666,185,1572,BUENOS AIRES
51,BUENOS AIRES_GENERAL SAN MARTIN,"General San Martin, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,27.96,1.27,4.25,38.24,0.45,4.22,22.25,0.57,0.14,0.45,0.2,61712,2799,9390,84386,989,9310,49097,1247,316,997,447,71.85,321986,231359,3.8,0.06,0.76,8786,136,1747,BUENOS AIRES
57,BUENOS AIRES_HURLINGHAM,"Hurlingham, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,24.92,1.48,4.26,38.65,0.49,4.99,23.74,0.57,0.18,0.48,0.24,26639,1583,4553,41313,521,5335,25378,614,188,515,259,76.33,146826,112073,4.0,0.04,0.58,4486,43,646,BUENOS AIRES
58,BUENOS AIRES_ITUZAINGO,"Ituzaingo, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,26.73,1.22,4.08,37.63,0.41,6.95,21.52,0.58,0.13,0.57,0.18,26945,1232,4113,37932,416,7004,21688,587,128,571,177,75.84,138178,104799,3.35,0.02,0.45,3506,24,476,BUENOS AIRES
59,BUENOS AIRES_JOSE C. PAZ,"J. C. Paz, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,15.07,1.05,3.4,51.48,0.32,2.43,25.02,0.46,0.13,0.41,0.23,20849,1459,4698,71233,446,3359,34619,635,175,565,325,71.68,207434,148686,5.84,0.11,1.0,8676,163,1484,BUENOS AIRES
