,distrito_nombre1,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,electores,votantes,Participacion
0,CONURBANO,44.86,55.14,2640071,3244716,1.77,0.06,1.23,107363,3829,74773,7893674,6070752,76.91
1,RESTO DEL PAIS,58.86,41.14,11836391,8271426,1.49,0.05,1.75,310152,10617,363908,27526610,20792494,75.54
